what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1318386553504
processors,sysinfo,,,"8",1318386553504
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1318386553504
java.runtime.version,sysinfo,,,"1.6.0_26-b03-383-11A511",1318386553504
java.specification.name,sysinfo,,,"Java Platform API Specification",1318386553504
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318386553504
java.specification.version,sysinfo,,,"1.6",1318386553504
java.vendor,sysinfo,,,"Apple Inc.",1318386553504
java.version,sysinfo,,,"1.6.0_26",1318386553504
java.vm.info,sysinfo,,,"mixed mode",1318386553504
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1318386553504
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1318386553504
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318386553504
java.vm.specification.version,sysinfo,,,"1.0",1318386553504
java.vm.vendor,sysinfo,,,"Apple Inc.",1318386553504
java.vm.version,sysinfo,,,"20.1-b02-383",1318386553504
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110605-0747,"org.eclipse.emf.ecore",1318386553993
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1318386554561
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1318386554841
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1318386555319
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1318386555703
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1318386555791
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1318386556280
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1318386556360
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.300.v201011231608,"org.eclipse.jst.ws.jaxrs.core",1318386556385
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1318386557325
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1318386557412
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1318386557542
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1318386557631
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1318386557640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318386679010
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318386679053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318386681040
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318386691174
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318386692318
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318386702226
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318386705048
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318386718709
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318386720290
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318386781516
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1318386783543
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1318386783564
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1318386783576
opened,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1318386783913
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1318386784036
opened,view,org.eclipse.mylyn.tasks.ui,3.6.1.v20110728-0200,"org.eclipse.mylyn.tasks.ui.views.tasks",1318386784795
opened,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1318386784969
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1318386785033
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318386785034
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1318386785128
started,bundle,org.python.pydev.core,2.2.2.2011082312,"org.python.pydev.core",1318386785322
started,bundle,org.python.pydev.debug,2.2.2.2011082312,"org.python.pydev.debug",1318386785329
